Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
63,63,3/7/25,@,CHO,W,118,117,,32,76,0.421,11,34,0.324,21,42,0.5,0.493,43,51,0.843,9,36,45,16,7,4,14,19,44,92,0.478,13,37,0.351,31,55,0.564,0.549,16,21,0.762,10,33,43,29,7,3,12,33
64,64,3/9/25,@,MIL,W,112,100,,39,88,0.443,19,47,0.404,20,41,0.488,0.551,15,19,0.789,13,31,44,25,11,2,15,15,39,91,0.429,9,31,0.29,30,60,0.5,0.478,13,18,0.722,15,35,50,17,9,2,18,15
65,65,3/11/25,,BRK,W,109,104,,39,89,0.438,10,42,0.238,29,47,0.617,0.494,21,25,0.84,12,36,48,23,7,4,15,10,39,84,0.464,16,44,0.364,23,40,0.575,0.56,10,14,0.714,8,30,38,31,9,3,15,21
66,66,3/14/25,@,MEM,W,133,124,,44,88,0.5,19,51,0.373,25,37,0.676,0.608,26,33,0.788,8,35,43,32,9,4,16,17,48,97,0.495,11,36,0.306,37,61,0.607,0.552,17,21,0.81,10,35,45,25,11,3,14,25
67,67,3/16/25,,ORL,L,103,108,,40,96,0.417,10,40,0.25,30,56,0.536,0.469,13,20,0.65,16,32,48,21,7,1,14,22,34,81,0.42,13,31,0.419,21,50,0.42,0.5,27,34,0.794,13,34,47,21,11,3,18,20
68,68,3/18/25,@,LAC,L,119,132,,44,90,0.489,14,41,0.341,30,49,0.612,0.567,17,26,0.654,10,19,29,29,6,0,9,21,46,84,0.548,16,35,0.457,30,49,0.612,0.643,24,28,0.857,14,35,49,28,7,5,13,26
69,69,3/19/25,@,SAC,L,119,123,,46,84,0.548,13,34,0.382,33,50,0.66,0.625,14,18,0.778,8,29,37,24,7,1,12,14,46,91,0.505,16,35,0.457,30,56,0.536,0.593,15,16,0.938,14,27,41,28,9,1,13,20
70,70,3/21/25,@,PHO,L,112,123,,42,94,0.447,17,45,0.378,25,49,0.51,0.537,11,14,0.786,16,28,44,24,11,5,11,12,48,92,0.522,19,42,0.452,29,50,0.58,0.625,8,8,1,12,34,46,33,6,3,15,16
71,71,3/23/25,@,UTA,W,120,91,,44,96,0.458,11,48,0.229,33,48,0.688,0.516,21,31,0.677,14,37,51,28,9,7,7,16,32,89,0.36,16,50,0.32,16,39,0.41,0.449,11,18,0.611,13,39,52,25,4,5,21,24
72,72,3/25/25,@,POR,W,122,111,,48,88,0.545,12,27,0.444,36,61,0.59,0.614,14,17,0.824,9,32,41,28,4,6,14,18,40,100,0.4,17,52,0.327,23,48,0.479,0.485,14,22,0.636,19,26,45,28,9,3,10,15
