Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
43,43,1/17/25,,MIN,L,99,116,,35,90,0.389,14,34,0.412,21,56,0.375,0.467,15,17,0.882,15,26,41,19,10,4,9,13,42,79,0.532,22,40,0.55,20,39,0.513,0.671,10,14,0.714,11,35,46,23,5,2,16,16
44,44,1/20/25,,ATL,W,119,110,,47,90,0.522,9,26,0.346,38,64,0.594,0.572,16,21,0.762,12,27,39,31,8,1,16,21,40,85,0.471,13,30,0.433,27,55,0.491,0.547,17,22,0.773,16,25,41,23,10,6,24,21
45,45,1/21/25,@,BRK,W,99,95,,40,87,0.46,8,28,0.286,32,59,0.542,0.506,11,14,0.786,9,33,42,29,11,3,12,20,32,86,0.372,12,40,0.3,20,46,0.435,0.442,19,25,0.76,14,33,47,21,4,9,17,18
46,46,1/25/25,,SAC,W,143,120,,52,105,0.495,17,36,0.472,35,69,0.507,0.576,22,23,0.957,17,36,53,40,9,4,11,13,46,95,0.484,14,36,0.389,32,59,0.542,0.558,14,16,0.875,9,29,38,33,5,5,12,19
47,47,1/27/25,,MEM,W,143,106,,56,108,0.519,17,44,0.386,39,64,0.609,0.597,14,18,0.778,17,29,46,32,20,7,11,16,41,91,0.451,9,24,0.375,32,67,0.478,0.5,15,17,0.882,18,29,47,21,5,9,26,16
48,48,1/29/25,,DEN,W,122,112,,48,93,0.516,14,34,0.412,34,59,0.576,0.591,12,18,0.667,6,29,35,33,7,2,6,16,41,84,0.488,10,28,0.357,31,56,0.554,0.548,20,23,0.87,11,36,47,21,3,5,14,19
49,49,2/1/25,,LAL,L,112,128,,44,95,0.463,10,28,0.357,34,67,0.507,0.516,14,19,0.737,16,28,44,33,7,3,14,16,47,81,0.58,19,40,0.475,28,41,0.683,0.698,15,18,0.833,3,34,37,26,9,4,15,22
50,50,2/3/25,,HOU,W,124,118,,47,93,0.505,6,26,0.231,41,67,0.612,0.538,24,30,0.8,12,28,40,24,9,5,14,15,48,104,0.462,8,28,0.286,40,76,0.526,0.5,14,15,0.933,20,30,50,27,8,6,17,26
51,51,2/4/25,@,TOR,W,121,115,,47,94,0.5,8,25,0.32,39,69,0.565,0.543,19,23,0.826,17,26,43,26,10,4,13,15,43,82,0.524,11,29,0.379,32,53,0.604,0.591,18,19,0.947,10,24,34,27,7,4,14,22
52,52,2/8/25,,BOS,L,104,131,,35,83,0.422,9,24,0.375,26,59,0.441,0.476,25,29,0.862,7,23,30,16,9,1,9,15,46,85,0.541,19,39,0.487,27,46,0.587,0.653,20,24,0.833,11,37,48,21,6,7,11,21
53,53,2/11/25,@,IND,W,128,115,,49,91,0.538,10,27,0.37,39,64,0.609,0.593,20,23,0.87,13,35,48,37,6,2,16,22,43,89,0.483,9,31,0.29,34,58,0.586,0.534,20,26,0.769,9,27,36,32,8,3,10,17
54,54,2/12/25,,ATL,W,149,148,OT,54,94,0.574,11,26,0.423,43,68,0.632,0.633,30,37,0.811,8,31,39,28,6,5,18,23,55,110,0.5,14,38,0.368,41,72,0.569,0.564,24,35,0.686,19,28,47,43,12,10,14,29
55,55,2/20/25,,CHI,W,113,111,OT,46,107,0.43,14,46,0.304,32,61,0.525,0.495,7,10,0.7,10,44,54,28,10,7,13,12,41,103,0.398,19,48,0.396,22,55,0.4,0.49,10,12,0.833,11,42,53,24,6,6,15,12
56,56,2/21/25,@,CLE,L,105,142,,42,89,0.472,10,28,0.357,32,61,0.525,0.528,11,18,0.611,9,23,32,25,8,3,17,12,56,92,0.609,19,37,0.514,37,55,0.673,0.712,11,15,0.733,11,36,47,38,12,2,15,15
57,57,2/23/25,@,BOS,L,105,118,,40,92,0.435,14,36,0.389,26,56,0.464,0.511,11,11,1,7,33,40,21,4,1,11,15,45,91,0.495,17,44,0.386,28,47,0.596,0.588,11,11,1,12,37,49,27,8,5,12,14
58,58,2/26/25,,PHI,W,110,105,,40,77,0.519,7,19,0.368,33,58,0.569,0.565,23,29,0.793,7,36,43,22,6,8,16,15,39,88,0.443,11,34,0.324,28,54,0.519,0.506,16,20,0.8,9,26,35,21,13,6,13,19
59,59,2/28/25,@,MEM,W,114,113,,44,95,0.463,13,38,0.342,31,57,0.544,0.532,13,16,0.813,8,27,35,29,10,7,9,16,44,94,0.468,4,31,0.129,40,63,0.635,0.489,21,22,0.955,19,39,58,26,2,4,19,17
60,60,3/2/25,@,MIA,W,116,112,OT,46,95,0.484,14,44,0.318,32,51,0.627,0.558,10,15,0.667,11,35,46,27,5,6,13,16,45,84,0.536,11,35,0.314,34,49,0.694,0.601,11,16,0.688,3,31,34,29,5,6,13,16
61,61,3/4/25,,GSW,L,102,114,,41,92,0.446,8,33,0.242,33,59,0.559,0.489,12,15,0.8,14,28,42,26,4,2,14,17,43,88,0.489,13,37,0.351,30,51,0.588,0.563,15,19,0.789,9,35,44,30,7,7,13,14
62,62,3/6/25,@,LAL,L,109,113,OT,37,94,0.394,10,43,0.233,27,51,0.529,0.447,25,32,0.781,14,32,46,20,10,2,16,21,38,89,0.427,14,42,0.333,24,47,0.511,0.506,23,28,0.821,12,37,49,25,7,4,17,28
63,63,3/7/25,@,LAC,L,95,105,,35,91,0.385,9,34,0.265,26,57,0.456,0.434,16,18,0.889,14,39,53,25,6,4,15,15,37,88,0.42,15,38,0.395,22,50,0.44,0.506,16,19,0.842,9,38,47,23,7,8,12,17
64,64,3/10/25,@,SAC,W,133,104,,45,84,0.536,22,40,0.55,23,44,0.523,0.667,21,26,0.808,6,34,40,34,13,1,16,24,36,86,0.419,10,34,0.294,26,52,0.5,0.477,22,26,0.846,14,23,37,18,7,4,18,20
65,65,3/12/25,@,POR,W,114,113,OT,44,94,0.468,12,31,0.387,32,63,0.508,0.532,14,20,0.7,11,27,38,27,12,7,15,21,40,90,0.444,17,42,0.405,23,48,0.479,0.539,16,25,0.64,21,31,52,20,6,6,25,18
Total,Total,,,,42-23,7611,7324,,2841,5813,0.489,823,2228,0.369,2018,3585,0.563,0.56,1106,1378,0.803,700,2091,2791,1775,518,253,863,1110,2718,5756,0.472,881,2355,0.374,1837,3401,0.54,0.549,1007,1266,0.795,715,2015,2730,1678,453,328,935,1242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
