Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
61,61,3/2/25,,DEN,W,110,103,,37,78,0.474,14,34,0.412,23,44,0.523,0.564,22,27,0.815,10,35,45,26,7,4,14,18,41,86,0.477,12,35,0.343,29,51,0.569,0.547,9,13,0.692,8,30,38,27,11,2,12,18
62,62,3/5/25,,POR,W,128,118,,45,97,0.464,23,54,0.426,22,43,0.512,0.582,15,17,0.882,18,34,52,24,5,6,10,14,45,90,0.5,16,40,0.4,29,50,0.58,0.589,12,17,0.706,8,31,39,19,4,3,8,16
63,63,3/6/25,,PHI,W,123,105,,46,91,0.505,19,48,0.396,27,43,0.628,0.61,12,13,0.923,16,30,46,32,8,6,11,16,40,95,0.421,15,39,0.385,25,56,0.446,0.5,10,12,0.833,18,27,45,29,6,5,16,15
64,64,3/8/25,,LAL,W,111,101,,40,84,0.476,13,38,0.342,27,46,0.587,0.554,18,25,0.72,11,32,43,24,9,5,10,11,39,87,0.448,14,40,0.35,25,47,0.532,0.529,9,14,0.643,9,36,45,18,6,1,14,17
65,65,3/10/25,,UTA,W,114,108,,40,93,0.43,18,53,0.34,22,40,0.55,0.527,16,18,0.889,12,35,47,28,11,8,9,12,43,95,0.453,13,38,0.342,30,57,0.526,0.521,9,12,0.75,14,34,48,29,3,4,12,13
66,66,3/12/25,,OKC,L,112,118,,41,94,0.436,20,63,0.317,21,31,0.677,0.543,10,12,0.833,15,26,41,25,9,6,13,25,40,82,0.488,13,37,0.351,27,45,0.6,0.567,25,35,0.714,11,33,44,19,7,2,12,17
67,67,3/14/25,@,MIA,W,103,91,,36,83,0.434,19,50,0.38,17,33,0.515,0.548,12,13,0.923,9,32,41,18,8,4,15,17,34,75,0.453,13,34,0.382,21,41,0.512,0.54,10,17,0.588,7,31,38,18,10,4,18,12
68,68,3/15/25,@,BRK,W,115,113,,44,84,0.524,13,38,0.342,31,46,0.674,0.601,14,19,0.737,13,25,38,29,5,7,8,14,42,90,0.467,20,46,0.435,22,44,0.5,0.578,9,13,0.692,18,27,45,34,4,3,9,21
69,69,3/18/25,,BRK,W,104,96,,35,79,0.443,16,48,0.333,19,31,0.613,0.544,18,22,0.818,6,42,48,24,6,5,13,14,36,88,0.409,13,45,0.289,23,43,0.535,0.483,11,17,0.647,8,31,39,21,9,2,9,19
70,70,3/21/25,@,UTA,W,121,99,,45,97,0.464,17,51,0.333,28,46,0.609,0.552,14,16,0.875,16,32,48,27,13,4,11,15,38,84,0.452,14,35,0.4,24,49,0.49,0.536,9,12,0.75,9,29,38,24,7,2,17,17
